vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,High
-2.34,32.0,1.05,-0.04,2.51,6.7,15.0,9388.5
-1.93,34.0,1.5,0.46,6.44,4.06,24.0,9426.48
-2.27,34.0,1.4,0.34,4.63,5.14,27.0,9414.94
-2.4,34.0,1.13,0.04,3.05,7.75,21.0,9394.2
-2.73,34.0,1.13,0.08,3.23,7.28,19.0,9395.3
-2.24,36.0,1.84,1.56,6.14,2.85,27.0,9457.08
-2.24,36.0,1.31,0.26,5.27,5.1,23.0,9406.9
-2.29,36.0,1.36,0.36,5.13,5.23,28.0,9411.47
-2.81,36.0,1.21,0.2,3.13,7.41,22.0,9401.78
-2.63,36.0,1.26,0.27,3.07,6.83,26.0,9406.36
-2.86,36.0,1.17,-0.07,3.86,7.59,16.0,9399.16
-2.86,36.0,1.17,-0.1,3.74,7.14,19.0,9398.51
-2.92,36.0,1.1,-0.14,3.88,7.63,20.0,9393.33
-2.08,38.0,1.56,0.57,6.33,3.74,25.0,9431.86
-2.45,38.0,1.93,1.67,6.24,2.62,28.0,9467.1
-2.24,38.0,1.41,0.37,4.65,4.99,28.0,9415.95
-2.29,38.0,1.42,0.42,4.78,5.56,29.0,9415.65
-3.05,38.0,1.32,0.43,3.14,6.89,27.0,9412.09
-1.35,42.0,1.54,1.23,3.41,0.79,18.0,9428.72
-1.72,42.0,1.87,1.62,4.31,1.55,21.0,9467.16
-2.94,42.0,2.06,1.95,5.94,2.35,37.0,9493.48
-1.95,33.0,1.46,0.24,6.51,3.01,23.0,9424.7
-1.9,33.0,1.5,0.32,6.36,4.15,27.0,9428.45
-1.9,33.0,1.34,0.23,6.33,3.97,21.0,9413.06
-2.24,33.0,1.05,-0.1,2.92,7.53,18.0,9387.83
-2.27,35.0,1.31,0.25,5.22,4.66,24.0,9406.5
-2.24,35.0,1.14,0.07,2.57,6.92,18.0,9393.6
-2.6,35.0,1.15,0.08,3.05,7.46,20.0,9397.51
