vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,Low
-3.22,18.0,0.5,0.0,6.07,3.03,-26.0,9409.29
-3.45,19.0,0.54,0.19,5.06,1.43,-29.0,9411.69
-4.61,19.0,0.89,0.47,11.82,0.0,-39.0,9448.26
-4.24,19.0,1.36,1.5,8.16,-26.7,-37.0,9505.2
-3.39,20.0,0.5,0.0,5.43,2.51,-26.0,9414.56
-3.45,21.0,0.58,-0.05,7.25,1.01,-35.0,9423.5
-3.68,21.0,0.48,-0.03,4.99,1.84,-23.0,9415.7
-3.62,21.0,0.56,-0.01,7.18,-0.72,-36.0,9421.63
-4.78,21.0,0.97,0.54,12.22,-0.15,-41.0,9458.08
-4.95,21.0,1.06,0.7,12.26,-0.8,-48.0,9467.49
-4.55,21.0,0.93,0.53,11.66,-1.13,-37.0,9455.07
-4.16,21.0,1.63,2.28,9.8,-20.85,-47.0,9539.3
-5.6,21.0,1.37,1.23,12.11,-3.9,-37.0,9502.48
-4.47,21.0,1.72,2.27,11.01,-19.29,-34.0,9541.9
-4.44,21.0,1.72,2.39,11.22,-20.2,-38.0,9548.93
-4.3,21.0,1.46,1.79,9.09,-21.99,-37.0,9514.01
-5.66,22.0,1.37,1.14,12.43,-2.07,-44.0,9501.94
-4.55,23.0,0.64,0.36,8.05,0.82,-51.0,9436.08
-4.55,23.0,0.97,0.61,10.98,-1.45,-46.0,9461.0
-3.62,24.0,0.56,-0.12,6.16,3.47,-32.0,9424.21
-3.39,24.0,0.58,0.14,6.51,3.24,-28.0,9425.21
-3.93,24.0,0.61,0.07,7.11,-1.18,-39.0,9432.73
-3.7,24.0,0.6,0.21,5.21,1.86,-29.0,9427.24
-4.61,24.0,0.69,0.43,7.76,0.51,-48.0,9438.35
-4.55,24.0,0.98,0.63,10.08,-2.04,-53.0,9461.9
-3.68,25.0,0.67,0.12,5.97,3.6,-36.0,9434.07
-4.38,25.0,0.65,0.43,7.05,-0.02,-48.0,9435.44
-4.1,25.0,0.61,0.08,7.31,-1.28,-40.0,9432.73
-4.64,25.0,0.74,0.38,8.39,0.1,-49.0,9444.17
-4.47,25.0,0.99,0.63,9.28,-1.52,-44.0,9462.45
-4.67,25.0,0.68,0.34,8.3,0.55,-46.0,9438.25
-4.67,25.0,0.7,0.44,8.16,0.89,-50.0,9441.32
-4.38,25.0,0.63,0.42,7.47,0.19,-47.0,9433.15
-4.44,25.0,0.98,0.64,9.54,-1.58,-48.0,9461.9
-5.15,25.0,1.89,2.39,11.48,-5.29,-61.0,9562.56
-4.58,26.0,0.68,0.46,7.59,0.43,-45.0,9436.19
-4.67,26.0,1.01,0.56,8.59,-0.87,-44.0,9465.82
-4.58,26.0,0.97,0.55,8.99,-0.67,-41.0,9461.29
-4.64,26.0,0.75,0.5,8.12,0.03,-49.0,9442.17
-4.64,26.0,0.85,0.52,8.16,0.04,-59.0,9451.34
-3.99,27.0,0.59,0.21,7.13,-1.12,-42.0,9430.05
-4.36,27.0,0.65,0.45,7.17,0.03,-46.0,9434.42
-4.69,27.0,0.96,0.51,7.93,-0.73,-46.0,9461.54
-3.85,28.0,0.56,0.15,7.13,-1.12,-36.0,9427.06
-0.81,13.0,-0.27,-2.1,3.96,7.32,0.0,9153.86
-1.2,14.0,-0.08,-1.98,3.66,7.25,0.0,9181.6
-1.04,15.0,-0.03,-1.91,4.11,4.01,-1.0,9185.6
-0.73,15.0,-0.2,-1.94,4.25,7.23,0.0,9171.41
-2.24,16.0,0.16,-1.79,3.88,8.9,1.0,9218.04
-1.15,16.0,-0.05,-1.86,4.3,5.55,0.0,9186.66
-1.35,16.0,-0.02,-1.86,4.3,5.55,0.0,9197.77
-2.19,17.0,0.25,-1.74,4.21,7.59,2.0,9226.55
-1.82,17.0,0.2,-1.64,3.02,7.56,1.0,9223.63
-2.45,18.0,0.46,-1.51,4.34,6.99,4.0,9242.06
-2.11,20.0,0.38,-1.59,4.18,7.84,3.0,9244.48
-2.55,23.0,0.58,-1.22,4.44,7.61,7.0,9211.55
-2.63,26.0,0.89,-0.59,4.01,8.07,11.0,9286.89
-1.64,27.0,1.45,0.37,6.97,2.94,19.0,9338.13
-2.0,27.0,0.87,-0.3,4.4,5.42,7.0,9288.8
-1.82,27.0,0.89,-0.28,3.38,6.7,12.0,9284.38
-1.93,27.0,0.9,-0.25,4.79,5.35,8.0,9292.25
-1.82,27.0,0.83,-0.41,3.3,6.46,10.0,9276.89
-1.74,27.0,0.82,-0.46,4.44,5.75,11.0,9276.9
-2.55,27.0,0.96,-0.52,3.93,7.84,13.0,9289.6
-2.06,28.0,1.71,1.19,7.26,3.13,28.0,9369.97
-1.93,28.0,0.9,-0.41,2.58,7.34,12.0,9285.5
-1.95,29.0,1.51,0.4,7.43,2.59,25.0,9345.66
-2.6,29.0,0.9,-0.55,3.76,7.5,11.0,9288.13
-2.53,29.0,0.96,-0.3,3.89,7.66,12.0,9294.37
-1.93,30.0,1.3,0.26,5.31,4.54,23.0,9324.92
-1.8,30.0,0.95,-0.16,3.43,7.32,11.0,9292.71
-1.93,30.0,0.83,-0.34,3.0,7.63,11.0,9283.28
-2.32,31.0,1.75,1.33,7.17,3.27,27.0,9372.83
-1.56,31.0,0.85,-0.29,3.41,7.11,9.0,9282.38
-2.08,31.0,1.29,0.23,5.14,4.72,26.0,9323.43
-1.67,31.0,0.88,-0.23,3.42,6.89,10.0,9285.39
-1.51,31.0,0.84,-0.31,3.53,7.09,10.0,9280.87
-2.0,31.0,1.05,0.08,2.51,7.0,14.0,9299.7
-2.34,32.0,1.05,-0.04,2.51,6.7,15.0,9299.31
-2.55,32.0,1.2,0.12,2.6,7.1,22.0,9313.11
-1.93,34.0,1.5,0.46,6.44,4.06,24.0,9343.49
-2.27,34.0,1.4,0.34,4.63,5.14,27.0,9334.51
-2.4,34.0,1.13,0.04,3.05,7.75,21.0,9313.81
-2.73,34.0,1.13,0.08,3.23,7.28,19.0,9312.51
-2.24,36.0,1.84,1.56,6.14,2.85,27.0,9376.99
-2.29,36.0,1.36,0.36,5.13,5.23,28.0,9328.44
-2.24,36.0,1.31,0.26,5.27,5.1,23.0,9324.44
-2.81,36.0,1.21,0.2,3.13,7.41,22.0,9318.52
-2.63,36.0,1.26,0.27,3.07,6.83,26.0,9319.29
-2.86,36.0,1.17,-0.07,3.86,7.59,16.0,9315.55
-2.86,36.0,1.17,-0.1,3.74,7.14,19.0,9313.24
-2.92,36.0,1.1,-0.14,3.88,7.63,20.0,9309.08
-2.45,38.0,1.93,1.67,6.24,2.62,28.0,9385.01
-2.08,38.0,1.56,0.57,6.33,3.74,25.0,9349.67
-2.24,38.0,1.41,0.37,4.65,4.99,28.0,9332.88
-2.29,38.0,1.42,0.42,4.78,5.56,29.0,9333.52
-3.05,38.0,1.32,0.43,3.14,6.89,27.0,9325.75
-2.94,42.0,2.06,1.95,5.94,2.35,37.0,9399.56
-1.35,42.0,1.54,1.23,3.41,0.79,18.0,9355.24
-1.72,42.0,1.87,1.62,4.31,1.55,21.0,9383.72
-1.95,33.0,1.46,0.24,6.51,3.01,23.0,9342.02
-1.9,33.0,1.5,0.32,6.36,4.15,27.0,9345.53
-1.9,33.0,1.34,0.23,6.33,3.97,21.0,9329.82
-2.24,33.0,1.05,-0.1,2.92,7.53,18.0,9306.38
-2.27,35.0,1.31,0.25,5.22,4.66,24.0,9324.04
-2.24,35.0,1.14,0.07,2.57,6.92,18.0,9306.14
-2.6,35.0,1.15,0.08,3.05,7.46,20.0,9314.27
-2.84,35.0,1.18,-0.11,3.7,7.32,22.0,9314.34
-2.32,37.0,1.86,1.54,6.99,3.29,30.0,9382.09
-2.68,37.0,1.27,0.34,3.03,6.86,24.0,9319.59
-2.29,43.0,2.18,2.11,5.35,2.49,38.0,9411.77
